strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	lineage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
MG693724	MG693724	MG693724.1	MPXV_Nig_2017_298464	2017-XX-XX	Africa	Nigeria			Homo sapiens	2018-02-06		Faye et al		hMPXV-1	A	7913.0	455.0	192.0	mediocre	bad	good	good	good	OPG021:239-243	False	Faye,O., Pratt,C.B., Faye,M., Fall,G., Chitty,J.A., Diagne,M.M., Wiley,M.R., Yinka-Ogunleye,A.F., Aruna,S., Etebu,E.N., Aworabhi,N., Ogoina,D., Numbere,W., Mba,N., Palacios,G., Sall,A.A., Ihekweazu,C., Diagne,M., Palacios,G.F., Sall,A.	
MK783029	MK783029	MK783029.1	MK783029	2017-12-06	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	16.0	549.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	NCEZID/DHCPP/PRB, Centers for Disease Control & Prevention (US CDC), USA
MT903340	MT903340	MT903340.1	MPXV-M5312_HM12_Rivers	2018-XX-XX	Africa	Nigeria	Rivers		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A	0.0	549.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
MK783033	MK783033	MK783033.1	MK783033	2017-10-09	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	1224.0	560.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	
MT903337	MT903337	MT903337.1	MPXV-M2940_FCT	2018-XX-XX	Africa	Nigeria	Federal Capital Territory		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A	0.0	548.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
MK783027	MK783027	MK783027.1	MK783027	2017-11-09	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	985.0	544.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	
MK783031	MK783031	MK783031.1	MK783031	2017-11-09	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	7.0	548.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	NCEZID/DHCPP/PRB, Centers for Disease Control & Prevention (US CDC), USA
MG693723	MG693723	MG693723.1	MPXV_Nig_2017_297957	2018-XX-XX	Africa	Nigeria			Homo sapiens	2018-02-06		Faye et al		hMPXV-1	A	102.0	508.0	42.0	good	bad	good	good	good	OPG192:84-183,OPG195:128-171	False	Faye,O., Pratt,C.B., Faye,M., Fall,G., Chitty,J.A., Diagne,M.M., Wiley,M.R., Yinka-Ogunleye,A.F., Aruna,S., Etebu,E.N., Aworabhi,N., Ogoina,D., Numbere,W., Mba,N., Palacios,G., Sall,A.A., Ihekweazu,C., Diagne,M., Palacios,G.F., Sall,A.	
MK783032	MK783032	MK783032.1	MK783032	2017-11-XX	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	5.0	551.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	NCEZID/DHCPP/PRB, Centers for Disease Control & Prevention (US CDC), USA
MK783028	MK783028	MK783028.1	MK783028	2017-11-09	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	8.0	546.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	NCEZID/DHCPP/PRB, Centers for Disease Control & Prevention (US CDC), USA
